,Team,Nickname,Conference
670,Carroll College,Fighting Saints,Frontier Conference
671,Central Methodist University,Eagles,Heart of America Athletic Conference
672,Clarke University,Pride,Heart of America Athletic Conference
673,Concordia University–Michigan,Cardinals,Mid-States Football Association
674,Concordia University–Nebraska,Bulldogs,Great Plains Athletic Conference
675,Culver–Stockton College,Wildcats,Heart of America Athletic Conference
676,Cumberland University,Phoenix,Mid-South Conference
677,University of the Cumberlands,Patriots,Mid-South Conference
678,Dakota State University,Trojans,North Star Athletic Association
679,Dakota Wesleyan University,Tigers,Great Plains Athletic Conference
680,Defiance College[a],Yellow Jackets,Mid-States Football Association
681,Dickinson State University,Blue Hawks,North Star Athletic Association (Frontier Conference in 2025.)
682,Doane University,Tigers,Great Plains Athletic Conference
683,Dordt University,Defenders,Great Plains Athletic Conference
684,Eastern Oregon University,Mountaineers,Frontier Conference
685,Evangel University,Valor,Kansas Collegiate Athletic Conference
686,Faulkner University,Eagles,Mid-South Conference
687,Florida Memorial University,Lions,The Sun Conference
688,Friends University,Falcons,Kansas Collegiate Athletic Conference
689,Georgetown College,Tigers,Mid-South Conference
690,Graceland University,Yellowjackets,Heart of America Athletic Conference
691,Grand View University,Vikings,Heart of America Athletic Conference
692,Hastings College,Broncos,Great Plains Athletic Conference
693,College of Idaho,Coyotes,Frontier Conference
694,Indiana Wesleyan University,Wildcats,Mid-States Football Association
695,University of Jamestown,Jimmies,North Star Athletic Association[b]
696,Judson University,Eagles,Mid-States Football Association
